"SHIPPING_ID","POST_CODE","CARRIER"
"SH11001","HR2 9EA","Evri"
"SH11002","CO7 7YG","Evri"
"SH11003","MK9 2FP","Evri"
"SH11004","KY2 5NS","UPS"
"SH11005","SA13 3ED","Evri"
"SH11006","SO32 2QJ","Royal Mail"
"SH11007","WA16 7QD","DHL"
"SH11008","BT93 0LJ","Evri"
"SH11009","S44 6AH","DHL"
"SH11010","TW8 9GD","Royal Mail"
"SH11011","SE9 4HH","UPS"
"SH11012","PO11 9LN","Evri"
"SH11013","HP16 0SL","DHL"
"SH11014","HR2 7AP","Evri"
"SH11015","SW19 5DN","Evri"
"SH11016","DH1 3LZ","FedEx"
"SH11017","SL1 3RB","FedEx"
"SH11018","WA15 8FG","Evri"
"SH11019","BA1 5DH","Evri"
"SH11020","S45 9FG","FedEx"
"SH11021","CW10 9RF","FedEx"
"SH11022","PH33 6SJ","UPS"
"SH11023","TQ8 8ED","Evri"
"SH11024","TN14 5PU","UPS"
"SH11025","S66 8BQ","Royal Mail"
"SH11026","CF48 1YX","DHL"
"SH11027","SY3 0NJ","Evri"
"SH11028","W9 3AT","DHL"
"SH11029","DY8 4QB","UPS"
"SH11030","BS39 7QL","UPS"
"SH11031","AB51 0YF","UPS"
"SH11032","LE2 5QH","UPS"
"SH11033","DL2 2GP","UPS"
"SH11034","B72 1PB","UPS"
"SH11035","GL52 3DT","UPS"
"SH11036","M26 1BZ","Evri"
"SH11037","LU6 1PS","UPS"
"SH11038","SA16 0DU","UPS"
"SH11039","PE1 2LF","FedEx"
"SH11040","PA1 2TW","DHL"
"SH11041","SK2 6AD","FedEx"
"SH11042","WS13 8GE","DHL"
"SH11043","DD2 4QB","DHL"
"SH11044","SL6 6AP","Evri"
"SH11045","NE26 2RL","FedEx"
"SH11046","BA4 4HJ","Evri"
"SH11047","GU23 7DN","FedEx"
"SH11048","TW15 2NE","Royal Mail"
"SH11049","M1 7AU","FedEx"
"SH11050","SW1P 9HJ","Evri"
"SH11051","SS0 0ND","Royal Mail"
"SH11052","S66 9LP","Royal Mail"
"SH11053","NR29 4SL","DHL"
"SH11054","FK3 8XL","UPS"
"SH11055","CH61 7UW","DHL"
"SH11056","SP5 3NL","FedEx"
"SH11057","SN5 3LW","UPS"
"SH11058","KA17 0EQ","FedEx"
"SH11059","OL6 8BL","Evri"
"SH11060","GL17 9AL","Evri"
"SH11061","LL28 5UT","Evri"
"SH11062","PA5 8LP","Royal Mail"
"SH11063","BD2 3HG","Evri"
"SH11064","CA3 8QT","DHL"
"SH11065","RG14 2QB","DHL"
"SH11066","ME9 8NE","Royal Mail"
"SH11067","BB8 9ER","Royal Mail"
"SH11068","NP10 8NN","Evri"
"SH11069","PE2 7AS","Evri"
"SH11070","WV98 1GF","Royal Mail"
"SH11071","PL14 3WS","Royal Mail"
"SH11072","NP24 6BP","FedEx"
"SH11073","LA1 1EG","DHL"
"SH11074","BT36 5ZJ","FedEx"
"SH11075","NR14 8EL","Evri"
"SH11076","NE4 8SP","DHL"
